path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/json/_misnamed_rtf/2025-03-10_12-08-15.json,2025-03-10_12-08-15.json,.json,656,0.0,2025-10-26 02:22:36,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-01-29_17-19-50.json,2025-01-29_17-19-50.json,.json,656,0.0,2025-10-26 02:22:39,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-10-14_14-54-23.json,2025-10-14_14-54-23.json,.json,656,0.0,2025-10-26 02:22:17,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-10-14_14-53-50.json,2025-10-14_14-53-50.json,.json,656,0.0,2025-10-26 02:22:17,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_13-55-42.json,2025-09-06_13-55-42.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-10-14_14-50-01.json,2025-10-14_14-50-01.json,.json,656,0.0,2025-10-26 02:22:17,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-01_15-35-21.json,2025-03-01_15-35-21.json,.json,656,0.0,2025-10-26 02:22:37,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-59-24.json,2025-09-11_17-59-24.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_10-24-01.json,2025-09-11_10-24-01.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-08_08-34-08.json,2025-03-08_08-34-08.json,.json,656,0.0,2025-10-26 02:22:36,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_23-47-04.json,2025-09-11_23-47-04.json,.json,656,0.0,2025-10-26 02:22:19,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-02-08_09-53-53.json,2025-02-08_09-53-53.json,.json,656,0.0,2025-10-26 02:22:38,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-08-02_09-59-15.json,2025-08-02_09-59-15.json,.json,656,0.0,2025-10-26 02:22:25,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_10-21-14.json,2025-09-11_10-21-14.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
