original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/Prompt 17 14387e7371d34de281b8ac4dacff9a48.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 17 14387e7371d34de281b8ac4dacff9a48.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 18 aba2296da23c4ebf8855ae19900e81c1.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 18 aba2296da23c4ebf8855ae19900e81c1.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 18 61be4b5982d544ac9e6723d644a48845.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 18 61be4b5982d544ac9e6723d644a48845.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Creating prompts for future chats 15936221d8b281ef9e62f2a771d261b7.html,/Users/steven/Documents/HTML/organized/ai-prompts/Creating prompts for future chats 15936221d8b281ef9e62f2a771d261b7.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 3 a08091d43d3d4f439eb0a202140b2d96.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 3 a08091d43d3d4f439eb0a202140b2d96.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/AWESOME STORY PROMPT pdf 15336221d8b281e0b7f4c698720ea03d.html,/Users/steven/Documents/HTML/organized/ai-prompts/AWESOME STORY PROMPT pdf 15336221d8b281e0b7f4c698720ea03d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 12 ee48e2a6ab9f4b14a6761553d505d737.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 12 ee48e2a6ab9f4b14a6761553d505d737.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 7 f91d2ad37ea24d2dba7a854f571a0661.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 7 f91d2ad37ea24d2dba7a854f571a0661.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 33 d5bae5abf6b14000bf86c994e6393eed.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 33 d5bae5abf6b14000bf86c994e6393eed.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 23 71427c026ff44e5fb1352f4f652f0775.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 23 71427c026ff44e5fb1352f4f652f0775.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Leonardo-Ai-85304b14cba049a58f1ca22068db0c98.html,/Users/steven/Documents/HTML/organized/ai-prompts/Leonardo-Ai-85304b14cba049a58f1ca22068db0c98.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Organize_Documents_Using_TOC.html,/Users/steven/Documents/HTML/organized/ai-prompts/Organize_Documents_Using_TOC.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Sort_MP3_Files_Script.html,/Users/steven/Documents/HTML/organized/ai-prompts/Sort_MP3_Files_Script.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 1 344f410885364fc2979dfc27fbc8b2cb.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 1 344f410885364fc2979dfc27fbc8b2cb.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Mystical_riddles-2025-05-01 1.html,/Users/steven/Documents/HTML/organized/ai-prompts/Mystical_riddles-2025-05-01 1.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/DiGiTaL DiVe Prompt Layout 11936221d8b2804abfcddcf75f18120d.html,/Users/steven/Documents/HTML/organized/ai-prompts/DiGiTaL DiVe Prompt Layout 11936221d8b2804abfcddcf75f18120d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 6 fbd507e2d3aa4a14aea0439f3deea295.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 6 fbd507e2d3aa4a14aea0439f3deea295.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 1 c417bdfc9b2c4c5086e290be88ff94c0.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 1 c417bdfc9b2c4c5086e290be88ff94c0.html,ai-prompts,0,False
